rank,title,studio,gross,year
1,Star Wars: The Force Awakens,BV,936662225.0,2015
2,Avatar,Fox,760507625.0,2009
3,Black Panther,BV,700059566.0,2018
4,Avengers: Infinity War,BV,678815482.0,2018
5,Titanic,Par.,659363944.0,1997
6,Jurassic World,Uni.,652270625.0,2015
7,Marvel's The Avengers,BV,623357910.0,2012
8,Star Wars: The Last Jedi,BV,620181382.0,2017
9,Incredibles 2,BV,608581744.0,2018
10,The Dark Knight,WB,535234033.0,2008
11,Rogue One: A Star Wars Story,BV,532177324.0,2016
12,Beauty and the Beast (2017),BV,504014165.0,2017
13,Finding Dory,BV,486295561.0,2016
14,Star Wars: Episode I - The Phantom Menace,Fox,474544677.0,1999
15,Star Wars,Fox,460998007.0,1977
16,Avengers: Age of Ultron,BV,459005868.0,2015
17,The Dark Knight Rises,WB,448139099.0,2012
18,Shrek 2,DW,441226247.0,2004
19,E.T.: The Extra-Terrestrial,Uni.,435110554.0,1982
20,The Hunger Games: Catching Fire,LGF,424668047.0,2013
21,Pirates of the Caribbean: Dead Man's Chest,BV,423315812.0,2006
22,The Lion King,BV,422783777.0,1994
23,Jurassic World: Fallen Kingdom,Uni.,417719760.0,2018
24,Toy Story 3,BV,415004880.0,2010
25,Wonder Woman,WB,412563408.0,2017
26,Iron Man 3,BV,409013994.0,2013
27,Captain America: Civil War,BV,408084349.0,2016
28,Captain Marvel ,BV,408015047.0,2019
29,The Hunger Games,LGF,408010692.0,2012
30,Jumanji: Welcome to the Jungle,Sony,404564861.0,2017
31,Spider-Man,Sony,403706375.0,2002
32,Jurassic Park,Uni.,402828120.0,1993
33,Transformers: Revenge of the Fallen,P/DW,402111870.0,2009
34,Frozen,BV,400738009.0,2013
35,Guardians of the Galaxy Vol. 2,BV,389813101.0,2017
36,Harry Potter and the Deathly Hallows Part 2,WB,381193157.0,2011
37,Finding Nemo,BV,380843261.0,2003
38,Star Wars: Episode III - Revenge of the Sith,Fox,380270577.0,2005
39,The Lord of the Rings: The Return of the King,NL,377845905.0,2003
40,Spider-Man 2,Sony,373585825.0,2004
41,The Passion of the Christ,NM,370782930.0,2004
42,The Secret Life of Pets,Uni.,368384330.0,2016
43,Despicable Me 2,Uni.,368061265.0,2013
44,The Jungle Book (2016),BV,364001123.0,2016
45,Deadpool,Fox,363070709.0,2016
46,Inside Out,BV,356461711.0,2015
47,Furious 7,Uni.,353007020.0,2015
48,Transformers: Dark of the Moon,P/DW,352390543.0,2011
49,American Sniper,WB,350126372.0,2014
50,The Lord of the Rings: The Two Towers,NL,342551365.0,2002
51,Zootopia,BV,341268248.0,2016
52,The Hunger Games: Mockingjay - Part 1,LGF,337135885.0,2014
53,Spider-Man 3,Sony,336530303.0,2007
54,Minions,Uni.,336045770.0,2015
55,Aquaman,WB,335061807.0,2018
56,Spider-Man: Homecoming,Sony,334201140.0,2017
57,Alice in Wonderland (2010),BV,334191110.0,2010
58,Guardians of the Galaxy,BV,333176600.0,2014
59,Batman v Superman: Dawn of Justice,WB,330360194.0,2016
60,Forrest Gump,Par.,330252182.0,1994
61,It,WB (NL),327481748.0,2017
62,Suicide Squad,WB,325100054.0,2016
63,Deadpool 2,Fox,324591735.0,2018
64,Shrek the Third,P/DW,322719944.0,2007
65,Transformers,P/DW,319246193.0,2007
66,Iron Man,Par.,318412101.0,2008
67,Harry Potter and the Sorcerer's Stone,WB,317871467.0,2001
68,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119.0,2008
69,The Lord of the Rings: The Fellowship of the Ring,NL,315544750.0,2001
70,Thor: Ragnarok,BV,315058289.0,2017
71,Iron Man 2,Par.,312433331.0,2010
72,Star Wars: Episode II - Attack of the Clones,Fox,310676740.0,2002
73,Pirates of the Caribbean: At World's End,BV,309420425.0,2007
74,Return of the Jedi,Fox,309306177.0,1983
75,Independence Day,Fox,306169268.0,1996
76,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918.0,2003
77,Skyfall,Sony,304360277.0,2012
78,The Hobbit: An Unexpected Journey,WB (NL),303003568.0,2012
79,Harry Potter and the Half-Blood Prince,WB,302089278.0,2009
80,The Twilight Saga: Eclipse,Sum.,300531751.0,2010
81,The Twilight Saga: New Moon,Sum.,296623634.0,2009
82,Harry Potter and the Deathly Hallows Part 1,WB,296131568.0,2010
83,The Sixth Sense,BV,293506292.0,1999
84,Up,BV,293004164.0,2009
85,Inception,WB,292576195.0,2010
86,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737.0,2012
87,Harry Potter and the Order of the Phoenix,WB,292137260.0,2007
88,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957.0,2005
89,Man of Steel,WB,291045518.0,2013
90,The Empire Strikes Back,Fox,290475067.0,1980
91,Harry Potter and the Goblet of Fire,WB,290201752.0,2005
92,"Monsters, Inc.",BV,289916256.0,2001
93,Home Alone,Fox,285761243.0,1990
94,The Hunger Games: Mockingjay - Part 2,LGF,281723902.0,2015
95,The Matrix Reloaded,WB,281576461.0,2003
